threshold,sensitivity,specificity,fpr,projeto
Inf,0,1,0,Diabetes
0.9921954171304718,0.01851851851851851,1,0,Diabetes
0.9627996403432214,0.03703703703703703,1,0,Diabetes
0.9276813100256526,0.03703703703703703,0.99,0.01,Diabetes
0.9204408314318148,0.05555555555555555,0.99,0.01,Diabetes
0.9110047528742672,0.07407407407407407,0.99,0.01,Diabetes
0.9096256629900196,0.0925925925925926,0.99,0.01,Diabetes
0.8879341950811375,0.1111111111111111,0.99,0.01,Diabetes
0.8799549105740612,0.12962962962962962,0.99,0.01,Diabetes
0.8796101006210565,0.14814814814814814,0.99,0.01,Diabetes
0.8773223038760172,0.16666666666666666,0.99,0.01,Diabetes
0.8615941516131363,0.18518518518518515,0.99,0.01,Diabetes
0.8507177028415406,0.2037037037037037,0.99,0.01,Diabetes
0.8391695703348656,0.2222222222222222,0.99,0.01,Diabetes
0.8210919954107538,0.24074074074074073,0.99,0.01,Diabetes
0.8127612009504307,0.25925925925925924,0.99,0.01,Diabetes
0.8119695470369027,0.25925925925925924,0.98,0.02000000000000001,Diabetes
0.7994983405633431,0.25925925925925924,0.97,0.03000000000000002,Diabetes
0.7975102093401644,0.2777777777777778,0.97,0.03000000000000002,Diabetes
0.7780366018754432,0.2962962962962963,0.97,0.03000000000000002,Diabetes
0.7614731641907372,0.3148148148148148,0.97,0.03000000000000002,Diabetes
0.7570741736576884,0.3333333333333333,0.97,0.03000000000000002,Diabetes
0.754477029760603,0.35185185185185186,0.97,0.03000000000000002,Diabetes
0.730536648985931,0.3703703703703703,0.97,0.03000000000000002,Diabetes
0.7164764303926385,0.3888888888888889,0.97,0.03000000000000002,Diabetes
0.6643089838392364,0.4074074074074074,0.97,0.03000000000000002,Diabetes
0.6637487774002707,0.42592592592592593,0.97,0.03000000000000002,Diabetes
0.6555187998405196,0.4444444444444444,0.97,0.03000000000000002,Diabetes
0.6438031891681651,0.4444444444444444,0.96,0.04000000000000003,Diabetes
0.621483428155216,0.46296296296296297,0.96,0.04000000000000003,Diabetes
0.6154627723571006,0.48148148148148145,0.96,0.04000000000000003,Diabetes
0.6138502499497968,0.5,0.96,0.04000000000000003,Diabetes
0.5984277952476538,0.5185185185185185,0.96,0.04000000000000003,Diabetes
0.5974665443070775,0.5370370370370371,0.96,0.04000000000000003,Diabetes
0.553688603008008,0.5555555555555556,0.96,0.04000000000000003,Diabetes
0.5530734472285943,0.5555555555555556,0.95,0.05000000000000004,Diabetes
0.5525711327886155,0.5740740740740741,0.95,0.05000000000000004,Diabetes
0.543449430381149,0.5925925925925926,0.95,0.05000000000000004,Diabetes
0.54149190911085,0.5925925925925926,0.94,0.06000000000000005,Diabetes
0.5339059089936494,0.6111111111111112,0.94,0.06000000000000005,Diabetes
0.525405176208915,0.6296296296296297,0.94,0.06000000000000005,Diabetes
0.5189333918638005,0.6481481481481481,0.94,0.06000000000000005,Diabetes
0.4987162779380042,0.6666666666666666,0.94,0.06000000000000005,Diabetes
0.48498264736001295,0.6851851851851852,0.94,0.06000000000000005,Diabetes
0.478852691412576,0.7037037037037037,0.94,0.06000000000000005,Diabetes
0.47214549290459223,0.7037037037037037,0.93,0.06999999999999995,Diabetes
0.4671222225865747,0.7222222222222222,0.93,0.06999999999999995,Diabetes
0.4541682652444697,0.7222222222222222,0.92,0.07999999999999996,Diabetes
0.4451404389145565,0.7222222222222222,0.91,0.08999999999999997,Diabetes
0.4402003347009688,0.7407407407407407,0.91,0.08999999999999997,Diabetes
0.4339778078999275,0.7407407407407407,0.9,0.09999999999999998,Diabetes
0.4326727326277654,0.7407407407407407,0.89,0.11,Diabetes
0.42970913835333285,0.7407407407407407,0.88,0.12,Diabetes
0.4089629956068072,0.7407407407407407,0.87,0.13,Diabetes
0.4069942225633814,0.7592592592592593,0.87,0.13,Diabetes
0.3957856128336883,0.7592592592592593,0.86,0.14,Diabetes
0.3933347765176374,0.7592592592592593,0.85,0.15000000000000002,Diabetes
0.3720324528967282,0.7777777777777778,0.85,0.15000000000000002,Diabetes
0.3709585709950236,0.7777777777777778,0.84,0.16000000000000003,Diabetes
0.36546963846699393,0.7777777777777778,0.83,0.17000000000000004,Diabetes
0.3638912334854024,0.7962962962962963,0.83,0.17000000000000004,Diabetes
0.3471945229625708,0.8148148148148148,0.83,0.17000000000000004,Diabetes
0.33682642136501806,0.8333333333333334,0.83,0.17000000000000004,Diabetes
0.33207710547890795,0.8518518518518519,0.83,0.17000000000000004,Diabetes
0.315686114429027,0.8703703703703703,0.83,0.17000000000000004,Diabetes
0.31076006169560244,0.8888888888888888,0.83,0.17000000000000004,Diabetes
0.304392830627407,0.8888888888888888,0.82,0.18000000000000005,Diabetes
0.2986018675625633,0.8888888888888888,0.81,0.18999999999999995,Diabetes
0.28296205739520497,0.8888888888888888,0.8,0.19999999999999996,Diabetes
0.2823097152289863,0.8888888888888888,0.79,0.20999999999999996,Diabetes
0.2797297170988959,0.8888888888888888,0.78,0.21999999999999997,Diabetes
0.2784226570368796,0.9074074074074074,0.78,0.21999999999999997,Diabetes
0.2685258645426917,0.9074074074074074,0.77,0.23,Diabetes
0.25895230099848543,0.9074074074074074,0.76,0.24,Diabetes
0.25651072281404264,0.9074074074074074,0.75,0.25,Diabetes
0.25410384459203905,0.9074074074074074,0.74,0.26,Diabetes
0.25258971250194934,0.925925925925926,0.74,0.26,Diabetes
0.2425284617572421,0.925925925925926,0.73,0.27,Diabetes
0.2396874299652808,0.925925925925926,0.72,0.28,Diabetes
0.2364332329899115,0.9444444444444444,0.72,0.28,Diabetes
0.23591123766183456,0.9629629629629628,0.72,0.28,Diabetes
0.2307983416479595,0.9629629629629628,0.71,0.29000000000000004,Diabetes
0.22746960719760384,0.9629629629629628,0.7,0.30000000000000004,Diabetes
0.21345423931656465,0.9629629629629628,0.69,0.31000000000000005,Diabetes
0.211231980791064,0.9814814814814816,0.69,0.31000000000000005,Diabetes
0.2045978111781817,0.9814814814814816,0.68,0.31999999999999995,Diabetes
0.20363523827740868,0.9814814814814816,0.67,0.32999999999999996,Diabetes
0.19273871551140556,0.9814814814814816,0.66,0.33999999999999997,Diabetes
