model,accuracy,sensitivity,specificity,precision,f1,roc_auc,threshold,tp,fp,tn,fn,projeto,modelo
logistic,0.8376623376623377,0.6481481481481481,0.94,0.8536585365853658,0.7368421052631579,0.9157407407407409,0.5,35,6,94,19,Diabetes,logistic
tree,0.7727272727272727,0.7222222222222222,0.8,0.6610169491525424,0.6902654867256637,0.8453703703703703,0.5,39,20,80,15,Diabetes,tree
logistic,0.8032786885245902,0.8787878787878788,0.7142857142857143,0.7837837837837838,0.8285714285714285,0.8625541125541125,0.5,29,8,20,4,Doença cardíaca,logistic
tree,0.7377049180327869,0.696969696969697,0.7857142857142857,0.7931034482758621,0.7419354838709677,0.7462121212121212,0.5,23,6,22,10,Doença cardíaca,tree
