model,accuracy,sensitivity,specificity,precision,f1,roc_auc,threshold,tp,fp,tn,fn
logistic,0.8032786885245902,0.8787878787878788,0.7142857142857143,0.7837837837837838,0.8285714285714285,0.8625541125541125,0.5,29,8,20,4
tree,0.7377049180327869,0.696969696969697,0.7857142857142857,0.7931034482758621,0.7419354838709677,0.7462121212121212,0.5,23,6,22,10
