bin,records,mean_probability,observed_rate
1,13,0.012884777766166144,0.07692307692307693
2,12,0.2049801365139152,0.3333333333333333
3,12,0.6070984287783054,0.6666666666666666
4,12,0.8271802375799715,0.75
5,12,0.9714460684703474,0.9166666666666666
