model,accuracy,sensitivity,specificity,precision,f1,roc_auc,threshold,tp,fp,tn,fn
logistic,0.8376623376623377,0.6481481481481481,0.94,0.8536585365853658,0.7368421052631579,0.9157407407407407,0.5,35,6,94,19
tree,0.7727272727272727,0.7222222222222222,0.8,0.6610169491525424,0.6902654867256637,0.8453703703703703,0.5,39,20,80,15
