threshold,sensitivity,specificity,fpr
Inf,0,1,0
0.9976540197137005,0.030303030303030304,1,0
0.9969237296702876,0.06060606060606061,1,0
0.9899537772705362,0.09090909090909091,1,0
0.9891341929751097,0.12121212121212122,1,0
0.9784928289076454,0.15151515151515152,1,0
0.9784078288804562,0.18181818181818182,1,0
0.9754611954352311,0.21212121212121213,1,0
0.9728196204652031,0.24242424242424243,1,0
0.9679581020588575,0.2727272727272727,1,0
0.9583029474874725,0.2727272727272727,0.9642857142857143,0.0357142857142857
0.9407930280973273,0.30303030303030304,0.9642857142857143,0.0357142857142857
0.911451550682342,0.3333333333333333,0.9642857142857143,0.0357142857142857
0.8850970074251984,0.36363636363636365,0.9642857142857143,0.0357142857142857
0.8613389358794074,0.3939393939393939,0.9642857142857143,0.0357142857142857
0.8472005290790237,0.42424242424242425,0.9642857142857143,0.0357142857142857
0.8469907953282942,0.45454545454545453,0.9642857142857143,0.0357142857142857
0.8384426877117279,0.48484848484848486,0.9642857142857143,0.0357142857142857
0.8252283613261385,0.5151515151515151,0.9642857142857143,0.0357142857142857
0.8251954108668509,0.5454545454545454,0.9642857142857143,0.0357142857142857
0.8245018318937927,0.5757575757575758,0.9642857142857143,0.0357142857142857
0.8166310786649171,0.5757575757575758,0.9285714285714286,0.0714285714285714
0.8041011557055927,0.6060606060606061,0.9285714285714286,0.0714285714285714
0.7773544398971891,0.6060606060606061,0.8928571428571429,0.1071428571428571
0.7740806171815249,0.6060606060606061,0.8571428571428571,0.1428571428571429
0.739006061315626,0.6060606060606061,0.8214285714285714,0.1785714285714286
0.733209568624582,0.6363636363636364,0.8214285714285714,0.1785714285714286
0.7086117622530329,0.6363636363636364,0.7857142857142857,0.2142857142857143
0.7073268347421001,0.6666666666666666,0.7857142857142857,0.2142857142857143
0.6163186663759518,0.6666666666666666,0.75,0.25
0.6017577594903116,0.696969696969697,0.75,0.25
0.5715612758040945,0.7272727272727273,0.75,0.25
0.5502722819021386,0.7575757575757576,0.75,0.25
0.5448637865622205,0.7878787878787878,0.75,0.25
0.5063356934376545,0.8181818181818182,0.75,0.25
0.5040106892204996,0.8181818181818182,0.7142857142857143,0.2857142857142857
0.5019067656114535,0.8484848484848485,0.7142857142857143,0.2857142857142857
0.5002187559679754,0.8787878787878788,0.7142857142857143,0.2857142857142857
0.47283431802279363,0.9090909090909091,0.7142857142857143,0.2857142857142857
0.4541157325177028,0.9090909090909091,0.6785714285714286,0.3214285714285714
0.3109885031377994,0.9090909090909091,0.6428571428571429,0.3571428571428571
0.22691895496391043,0.9090909090909091,0.6071428571428571,0.3928571428571429
0.08506961558719017,0.9090909090909091,0.5714285714285714,0.4285714285714286
0.0819749483833793,0.9090909090909091,0.5357142857142857,0.4642857142857143
0.08140219555655395,0.9393939393939394,0.5357142857142857,0.4642857142857143
0.06769905768972505,0.9393939393939394,0.5,0.5
0.06333376783736096,0.9696969696969697,0.5,0.5
0.05817539915835155,0.9696969696969697,0.4642857142857143,0.5357142857142857
0.057030389344239533,0.9696969696969697,0.42857142857142855,0.5714285714285714
0.03433487849295245,0.9696969696969697,0.39285714285714285,0.6071428571428572
0.027783043575232667,0.9696969696969697,0.35714285714285715,0.6428571428571428
0.024758529503570763,1,0.35714285714285715,0.6428571428571428
0.022220591243993837,1,0.32142857142857145,0.6785714285714286
0.019501162940481154,1,0.2857142857142857,0.7142857142857143
0.0070731792697009375,1,0.25,0.75
0.0069016104702618606,1,0.21428571428571427,0.7857142857142857
0.005972222844866351,1,0.17857142857142858,0.8214285714285714
0.005264540225440999,1,0.14285714285714285,0.8571428571428572
0.004586388242478122,1,0.10714285714285714,0.8928571428571429
0.003922647337025889,1,0.07142857142857142,0.9285714285714286
0.0027551327233615586,1,0.03571428571428571,0.9642857142857143
0.002428184090793286,1,0,1
-Inf,1,0,1
