variable,coefficient,importance,direction
Glucose,1.0806236317128393,1.0806236317128393,Higher probability
BMI,0.5833832225968802,0.5833832225968802,Higher probability
Pregnancies,0.34674263845815956,0.34674263845815956,Higher probability
DiabetesPedigreeFunction,0.2722934118348088,0.2722934118348088,Higher probability
Age,0.171859057788946,0.171859057788946,Higher probability
BloodPressure,-0.15701479240177016,0.15701479240177016,Lower probability
Insulin,-0.07790690188353093,0.07790690188353093,Lower probability
SkinThickness,0.0339458628062691,0.0339458628062691,Higher probability
