threshold,sensitivity,specificity,fpr
Inf,0,1,0
0.9921954171304718,0.018518518518518517,1,0
0.9627996403432214,0.037037037037037035,1,0
0.9276813100256526,0.037037037037037035,0.99,0.010000000000000009
0.9204408314318149,0.05555555555555555,0.99,0.010000000000000009
0.9110047528742671,0.07407407407407407,0.99,0.010000000000000009
0.9096256629900196,0.09259259259259259,0.99,0.010000000000000009
0.8879341950811375,0.1111111111111111,0.99,0.010000000000000009
0.8799549105740612,0.12962962962962962,0.99,0.010000000000000009
0.8796101006210565,0.14814814814814814,0.99,0.010000000000000009
0.8773223038760172,0.16666666666666666,0.99,0.010000000000000009
0.8615941516131363,0.18518518518518517,0.99,0.010000000000000009
0.8507177028415406,0.2037037037037037,0.99,0.010000000000000009
0.8391695703348656,0.2222222222222222,0.99,0.010000000000000009
0.8210919954107538,0.24074074074074073,0.99,0.010000000000000009
0.8127612009504307,0.25925925925925924,0.99,0.010000000000000009
0.8119695470369027,0.25925925925925924,0.98,0.020000000000000018
0.7994983405633431,0.25925925925925924,0.97,0.030000000000000027
0.7975102093401644,0.2777777777777778,0.97,0.030000000000000027
0.7780366018754432,0.2962962962962963,0.97,0.030000000000000027
0.7614731641907372,0.3148148148148148,0.97,0.030000000000000027
0.7570741736576884,0.3333333333333333,0.97,0.030000000000000027
0.754477029760603,0.35185185185185186,0.97,0.030000000000000027
0.730536648985931,0.37037037037037035,0.97,0.030000000000000027
0.7164764303926385,0.3888888888888889,0.97,0.030000000000000027
0.6643089838392364,0.4074074074074074,0.97,0.030000000000000027
0.6637487774002707,0.42592592592592593,0.97,0.030000000000000027
0.6555187998405196,0.4444444444444444,0.97,0.030000000000000027
0.6438031891681651,0.4444444444444444,0.96,0.040000000000000036
0.621483428155216,0.46296296296296297,0.96,0.040000000000000036
0.6154627723571006,0.48148148148148145,0.96,0.040000000000000036
0.6138502499497968,0.5,0.96,0.040000000000000036
0.5984277952476538,0.5185185185185185,0.96,0.040000000000000036
0.5974665443070775,0.5370370370370371,0.96,0.040000000000000036
0.553688603008008,0.5555555555555556,0.96,0.040000000000000036
0.5530734472285943,0.5555555555555556,0.95,0.050000000000000044
0.5525711327886155,0.5740740740740741,0.95,0.050000000000000044
0.543449430381149,0.5925925925925926,0.95,0.050000000000000044
0.54149190911085,0.5925925925925926,0.94,0.06000000000000005
0.5339059089936494,0.6111111111111112,0.94,0.06000000000000005
0.525405176208915,0.6296296296296297,0.94,0.06000000000000005
0.5189333918638005,0.6481481481481481,0.94,0.06000000000000005
0.4987162779380042,0.6666666666666666,0.94,0.06000000000000005
0.48498264736001295,0.6851851851851852,0.94,0.06000000000000005
