bin,records,mean_probability,observed_rate
1,31,0.06534541303116606,0
2,31,0.12637769318531442,0.03225806451612903
3,31,0.2474390168373206,0.2903225806451613
4,31,0.4707927633986814,0.5806451612903226
5,30,0.8035093947554135,0.8666666666666667
